Date,Scheme Name,ISIN,NAV
2022-10-07,UTI Large Cap Fund - Regular Plan - Growth Option,INF789F01976,191.9462
2022-10-10,Axis Large Cap Fund - Regular Plan - Growth,INF846K01164,43.48
2022-10-10,BANDHAN Large Cap Fund - Regular Plan - Growth,INF194K01516,48.746
2022-10-10,BANK OF INDIA Large Cap Fund Regular Plan Growth,INF761K01FO7,10.51
2022-10-10,BARODA BNP PARIBAS LARGE CAP Fund- Regular Plan - Growth Option,INF251K01894,139.3698
2022-10-10,CANARA ROBECO LARGE CAP FUND - REGULAR PLAN - GROWTH OPTION,INF760K01AR3,40.66
2022-10-10,DSP Large Cap Fund - Regular Plan - Growth,INF740K01243,284.839
2022-10-10,Edelweiss Large Cap Fund - Regular Plan - Growth Option,INF754K01046,54.09
2022-10-10,HDFC Large Cap Fund - Growth Option - Regular Plan,INF179K01BE2,710.832
2022-10-10,HSBC Large Cap Fund - Regular Growth,INF336L01016,310.4569
2022-10-10,ITI Large Cap Fund - Regular Plan - Growth Option,INF00XX01770,11.6968
2022-10-10,JM Large Cap Fund (Regular) - Growth Option,INF192K01601,98.0822
2022-10-10,L&T India Large Cap Fund - Regular Plan - Growth,INF677K01155,40.438
2022-10-10,LIC MF Large Cap Fund-Regular Plan-Growth,INF767K01105,39.4847
2022-10-10,Mahindra Manulife Large Cap Fund - Regular Plan - Growth,INF174V01697,15.4728
2022-10-10,quant Large Cap Fund - Growth Option - Regular Plan,INF966L01AW4,9.8449
2022-10-10,SBI Large Cap FUND-REGULAR PLAN GROWTH,INF200K01180,61.1808
2022-10-10,Sundaram Large Cap Fund(Formerly Known as Sundaram Blue Chip Fund) Regular Plan - Growth,INF903JA1IZ3,14.73
2022-10-10,Tata Large Cap Fund -Regular Plan - Growth Option,INF277K01931,326.5346
2022-10-10,Taurus Large Cap Fund - Regular Plan - Growth,INF044D01773,107.52
